PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	713852	714400	+	0	NA	promoter-TSS (NR_033908)	promoter-TSS (NR_033908)	-58	NR_033908	100288069	Hs.527521	NR_033908		LOC100288069	-	uncharacterized LOC100288069	ncRNA	3.93964040122379e-10	1.09578568798055
2	chr1	762752	763050	+	0	NA	promoter-TSS (NR_024321)	promoter-TSS (NR_024321)	1	NR_024321	79854	Hs.351445	NM_024796	ENSG00000225880	LINC00115	NCRNA00115	long intergenic non-protein coding RNA 115	ncRNA	1.85444095927639e-06	1.22951867458414
3	chr1	805202	805400	+	0	NA	intron (NR_027055, intron 2 of 2)	CpG	6881	NR_027055	284593	Hs.449006	NR_027055	ENSG00000230368	FAM41C	-	family with sequence similarity 41 member C	ncRNA	0.000277722739872252	1.07021187665678
4	chr1	840002	840200	+	0	NA	Intergenic	CpG	14971	NR_026874	100130417	Hs.200644	NM_175912	ENSG00000223764	LINC02593	-	long intergenic non-protein coding RNA 2593	ncRNA	0.00274727106955439	0.897555063304579
5	chr1	894552	894900	+	0	NA	promoter-TSS (NM_015658)	promoter-TSS (NM_015658)	-90	NM_015658	26155	Hs.405987	NM_015658	ENSG00000188976	NOC2L	NET15|NET7|NIR|PPP1R112	NOC2 like nucleolar associated transcriptional repressor	protein-coding	3.06287798471386e-13	1.65486080271603
6	chr1	895852	896100	+	0	NA	promoter-TSS (NM_198317)	promoter-TSS (NM_198317)	12	NM_198317	339451	Hs.109212	NM_198317	ENSG00000187961	KLHL17	-	kelch like family member 17	protein-coding	1.3877774049513e-06	1.66654598544561
7	chr1	901752	902500	+	0	NA	exon (NM_001160184, exon 2 of 15)	exon (NM_001160184, exon 2 of 15)	264	NM_001367552	84069	Hs.528691	NM_032129	ENSG00000187583	PLEKHN1	CLPABP	pleckstrin homology domain containing N1	protein-coding	4.24246352177152e-05	1.10379730515026
8	chr1	935252	936350	+	0	NA	promoter-TSS (NM_001142467)	promoter-TSS (NM_001142467)	-324	NM_021170	57801	Hs.154029	NM_021170	ENSG00000188290	HES4	bHLHb42	hes family bHLH transcription factor 4	protein-coding	2.66479654000734e-11	1.51153446303414
9	chr1	937102	937500	+	0	NA	Intergenic	CpG-24	-1824	NM_021170	57801	Hs.154029	NM_021170	ENSG00000188290	HES4	bHLHb42	hes family bHLH transcription factor 4	protein-coding	0.000122551276312892	1.14237621797068
10	chr1	948652	948950	+	0	NA	promoter-TSS (NM_005101)	promoter-TSS (NM_005101)	-76	NM_005101	9636	Hs.458485	NM_005101	ENSG00000187608	ISG15	G1P2|IFI15|IMD38|IP17|UCRP|hUCRP	ISG15 ubiquitin like modifier	protein-coding	2.24420704442782e-06	1.16899710345526
11	chr1	954552	955700	+	0	NA	promoter-TSS (NM_001305275)	promoter-TSS (NM_001305275)	-374	NM_198576	375790	Hs.273330	NM_198576	ENSG00000188157	AGRN	AGRIN|CMS8|CMSPPD	agrin	protein-coding	4.05918079106553e-22	1.73603201967474
12	chr1	994552	995350	+	0	NA	promoter-TSS (NR_148960)	promoter-TSS (NR_148960)	-163	NR_148960	100288175	Hs.713286	NR_148960	ENSG00000217801	LOC100288175	-	uncharacterized LOC100288175	ncRNA	4.91806134510715e-15	1.65041643048474
13	chr1	999302	999450	+	0	NA	intron (NR_148960, intron 3 of 3)	intron (NR_148960, intron 3 of 3)	4262	NR_148960	100288175	Hs.713286	NR_148960	ENSG00000217801	LOC100288175	-	uncharacterized LOC100288175	ncRNA	0.000824104959210572	1.09155946482805
14	chr1	1004602	1004900	+	0	NA	Intergenic	CpG	4935	NM_001205252	401934	Hs.568137	NM_001205252	ENSG00000237330	RNF223	-	ring finger protein 223	protein-coding	0.000131576261310094	1.09768127451278
15	chr1	1051202	1052200	+	0	NA	promoter-TSS (NM_001363525)	promoter-TSS (NM_001363525)	-232	NM_001363525	54991	Hs.235095	NM_017891	ENSG00000131591	C1orf159	-	chromosome 1 open reading frame 159	protein-coding	2.14835237097352e-12	1.14699825712399
16	chr1	1057552	1057800	+	0	NA	Intergenic	Intergenic	-6207	NM_001363525	54991	Hs.235095	NM_017891	ENSG00000131591	C1orf159	-	chromosome 1 open reading frame 159	protein-coding	2.22746381387749e-06	1.40229116222418
17	chr1	1166852	1167950	+	0	NA	promoter-TSS (NM_080605)	promoter-TSS (NM_080605)	-20	NM_016176	51150	Hs.42806	NM_016176	ENSG00000078808	SDF4	Cab45|SDF-4	stromal cell derived factor 4	protein-coding	1.28776288334211e-20	1.54342632125667
18	chr1	1208952	1209650	+	0	NA	promoter-TSS (NM_194458)	promoter-TSS (NM_194458)	-67	NM_194457	118424	Hs.191987	NM_058167	ENSG00000160087	UBE2J2	NCUBE-2|NCUBE2|PRO2121	ubiquitin conjugating enzyme E2 J2	protein-coding	6.47723690860731e-17	1.79412108532433
19	chr1	1242902	1244450	+	0	NA	promoter-TSS (NM_001346116)	promoter-TSS (NM_001346116)	-284	NM_001346116	126789	Hs.400659	NM_153339	ENSG00000169972	PUSL1	-	pseudouridine synthase like 1	protein-coding	8.86200569399145e-13	1.37740719969073
20	chr1	1259752	1260600	+	0	NA	promoter-TSS (NM_001256456)	promoter-TSS (NM_001256456)	-6	NM_001029885	80772	Hs.515689	NM_001029885	ENSG00000224051	CPTP	GLTPD1	ceramide-1-phosphate transfer protein	protein-coding	3.21609810232703e-08	1.21626757204263
21	chr1	1280102	1280750	+	0	NA	intron (NM_001330311, intron 1 of 14)	intron (NM_001330311, intron 1 of 14)	4372	NM_004421	1855	Hs.731450	NM_004421	ENSG00000107404	DVL1	DRS2|DVL|DVL1L1|DVL1P1	dishevelled segment polarity protein 1	protein-coding	6.18530187065796e-19	1.84705626893141
22	chr1	1283402	1283600	+	0	NA	intron (NM_001330311, intron 1 of 14)	intron (NM_001330311, intron 1 of 14)	1297	NM_004421	1855	Hs.731450	NM_004421	ENSG00000107404	DVL1	DRS2|DVL|DVL1L1|DVL1P1	dishevelled segment polarity protein 1	protein-coding	0.000181707944259075	1.10030990965549
23	chr1	1284352	1285350	+	0	NA	promoter-TSS (NM_004421)	promoter-TSS (NM_004421)	-53	NM_001330311	1855	Hs.731450	NM_004421	ENSG00000107404	DVL1	DRS2|DVL|DVL1L1|DVL1P1	dishevelled segment polarity protein 1	protein-coding	8.97543749552288e-16	1.99210053328328
24	chr1	1310352	1311050	+	0	NA	promoter-TSS (NM_001127230)	promoter-TSS (NM_001127230)	-114	NM_017900	54998	Hs.632515	NM_017900	ENSG00000175756	AURKAIP1	AIP|AKIP|MRP-S38	aurora kinase A interacting protein 1	protein-coding	7.25137231398741e-08	0.935897390931354
25	chr1	1334402	1335250	+	0	NA	promoter-TSS (NR_015434)	promoter-TSS (NR_015434)	-84	NR_015434	148413	Hs.741357	NR_015434	ENSG00000224870	MRPL20-AS1	-	MRPL20 antisense RNA 1	ncRNA	5.41813619559149e-17	1.29482731048882
26	chr1	1342502	1342850	+	0	NA	promoter-TSS (NM_017971)	promoter-TSS (NM_017971)	-3	NM_017971	55052	Hs.182698	NM_017971	ENSG00000242485	MRPL20	L20mt|MRP-L20	mitochondrial ribosomal protein L20	protein-coding	1.0020947251396e-05	0.99932652841964
27	chr1	1376352	1376500	+	0	NA	3' UTR (NM_022834, exon 3 of 3)	3' UTR (NM_022834, exon 3 of 3)	5356	NM_022834	64856	Hs.449009	NM_022834	ENSG00000179403	VWA1	WARP	von Willebrand factor A domain containing 1	protein-coding	0.000474148953345546	1.17622925490162
28	chr1	1406802	1407250	+	0	NA	promoter-TSS (NM_031921)	promoter-TSS (NM_031921)	-119	NM_031921	83858	Hs.729021	NM_031921	ENSG00000160072	ATAD3B	AAA-TOB3|TOB3	ATPase family AAA domain containing 3B	protein-coding	8.7324908465717e-14	1.66760676638252
29	chr1	1440202	1440700	+	0	NA	Intergenic	LTR13|LTR|ERVK	-7091	NM_018188	55210	Hs.23413	NM_018188	ENSG00000197785	ATAD3A	HAYOS	ATPase family AAA domain containing 3A	protein-coding	0.000414173943210317	1.06554177619772
30	chr1	1446902	1447650	+	0	NA	promoter-TSS (NM_001170535)	promoter-TSS (NM_001170535)	-266	NM_018188	55210	Hs.23413	NM_018188	ENSG00000197785	ATAD3A	HAYOS	ATPase family AAA domain containing 3A	protein-coding	3.09858634821795e-15	1.44840157171881
