PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	565602	565800	+	0	NA	Intergenic	Intergenic	-1312	NR_125957	101928626	Hs.637667	NR_125957	ENSG00000230021	LOC101928626	-	uncharacterized LOC101928626	ncRNA	0.000256346502130644	1.08956088448788
2	chr1	8138352	8138500	+	0	NA	Intergenic	Intergenic	-52057	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding	0.000406031451630947	1.4462475535869
3	chr1	8157352	8157900	+	0	NA	Intergenic	Intergenic	-71257	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding	0.00748547066373995	1.16446485167281
4	chr1	8938002	8939600	+	0	NA	promoter-TSS (NR_038351)	promoter-TSS (NR_038351)	-56	NM_001353346	2023	Hs.517145	NM_001428	ENSG00000074800	ENO1	ENO1L1|HEL-S-17|MPB1|NNE|PPH	enolase 1	protein-coding	0.00074114658355691	1.45837636500542
5	chr1	11071952	11073450	+	0	NA	promoter-TSS (NM_007375)	promoter-TSS (NM_007375)	22	NM_007375	23435	Hs.300624	NM_007375	ENSG00000120948	TARDBP	ALS10|TDP-43	TAR DNA binding protein	protein-coding	0.00839535864976714	0.858302385348299
6	chr1	11967802	11970000	+	0	NA	TTS (NR_002754)	TTS (NR_002754)	690	NR_002754	26829		NR_002754	ENSG00000199347	RNU5E-1	RNU5E|U5E	RNA, U5E small nuclear 1	snRNA	0.00535515698212204	0.774374635793584
7	chr1	16839952	16841200	+	0	NA	TTS (NR_004400)	TTS (NR_004400)	204	NR_004430	26871		NR_004430	ENSG00000206652	RNU1-1	HSD1|HU1-1|RNU1|RNU1A|RNU1A3|RNU1G4|Rnu1a1|U1|U1A1	RNA, U1 small nuclear 1	snRNA	0.00574267925040757	1.15434276484093
8	chr1	21348802	21349300	+	0	NA	intron (NM_001198801, intron 4 of 34)	intron (NM_001198801, intron 4 of 34)	-34126	NR_031657	100302155		NR_031657	ENSG00000221808	MIR1256	MIRN1256|hsa-mir-1256	microRNA 1256	ncRNA	0.000258584657823406	1.47405460691926
9	chr1	23885752	23886200	+	0	NA	promoter-TSS (NM_002167)	promoter-TSS (NM_002167)	16	NM_002167	3399	Hs.76884	NM_002167	ENSG00000117318	ID3	HEIR-1|bHLHb25	inhibitor of DNA binding 3, HLH protein	protein-coding	0.00562608963194178	0.891850243552511
10	chr1	27191302	27192050	+	0	NA	TTS (NM_006142)	TTS (NM_006142)	2036	NM_006142	2810	Hs.523718	NM_006142	ENSG00000175793	SFN	YWHAS	stratifin	protein-coding	0.000340345069360893	1.18469546036023
