PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	6217202	6218450	+	0	NA	intron (NM_015557, intron 3 of 41)	intron (NM_015557, intron 3 of 41)	22555	NM_015557	26038	Hs.522898	NM_015557	ENSG00000116254	CHD5	CHD-5	chromodomain helicase DNA binding protein 5	protein-coding	1.39031397718749e-08	-1.54997178526818
2	chr1	9779202	9779450	+	0	NA	intron (NM_001350235, intron 8 of 22)	intron (NM_001350235, intron 8 of 22)	27801	NM_001350235	5293	Hs.518451	NM_005026	ENSG00000171608	PIK3CD	APDS|IMD14|P110DELTA|PI3K|p110D	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	protein-coding	0.00755866912385631	-1.05333210601062
3	chr1	17004552	17004800	+	0	NA	Intergenic	Intergenic	-3074	NR_037446	100500876		NR_037446	ENSG00000263811	MIR3675	-	microRNA 3675	ncRNA	0.00376075258583137	-1.57633600418486
4	chr1	20940102	20940750	+	0	NA	intron (NM_001785, intron 3 of 3)	intron (NM_001785, intron 3 of 3)	-19525	NM_032409	65018	Hs.389171	NM_032409	ENSG00000158828	PINK1	BRPK|PARK6	PTEN induced kinase 1	protein-coding	0.00582907027227424	-1.15519313561298
5	chr1	23158552	23158900	+	0	NA	intron (NM_004442, intron 3 of 15)	MIRb|SINE|MIR	30993	NR_036214	100422914		NR_036214	ENSG00000264014	MIR4253	-	microRNA 4253	ncRNA	0.00183821127901027	-1.483606719862
6	chr1	29529352	29529700	+	0	NA	intron (NR_146214, intron 5 of 10)	intron (NR_146214, intron 5 of 10)	-21114	NM_005626	6429	Hs.469970	NM_005626	ENSG00000116350	SRSF4	SFRS4|SRP75	serine and arginine rich splicing factor 4	protein-coding	0.00231540801177823	-1.00702442595196
7	chr1	32403352	32404550	+	0	NA	promoter-TSS (NM_001369860)	promoter-TSS (NM_001369860)	18	NM_001195100	8073	Hs.470477	NM_003479	ENSG00000184007	PTP4A2	HH13|HH7-2|HU-PP-1|OV-1|PRL-2|PRL2|PTP4A|PTPCAAX2|ptp-IV1a|ptp-IV1b	protein tyrosine phosphatase 4A2	protein-coding	0.00229969911963011	-0.862720911402394
8	chr1	35228202	35229600	+	0	NA	TTS (NM_153212)	TTS (NM_153212)	3560	NM_153212	127534	Hs.351203	NM_153212	ENSG00000189433	GJB4	CX30.3|EKV|EKVP2	gap junction protein beta 4	protein-coding	0.000218883081571512	-1.3986818159762
9	chr1	35246652	35248050	+	0	NA	promoter-TSS (NM_001005752)	promoter-TSS (NM_001005752)	-518	NM_001005752	2707	Hs.522561	NM_024009	ENSG00000188910	GJB3	CX31|DFNA2|DFNA2B|EKV|EKVP1	gap junction protein beta 3	protein-coding	0.00670569537582855	-1.13775061931649
10	chr1	36839402	36840650	+	0	NA	intron (NM_032017, intron 1 of 11)	intron (NM_032017, intron 1 of 11)	11499	NM_001282547	83931	Hs.471768	NM_032017	ENSG00000196182	STK40	SHIK|SgK495	serine/threonine kinase 40	protein-coding	0.00428455449596231	-0.983092379247569
11	chr1	36850602	36852750	+	0	NA	promoter-TSS (NM_001282547)	promoter-TSS (NM_001282547)	-151	NM_001282546	83931	Hs.471768	NM_032017	ENSG00000196182	STK40	SHIK|SgK495	serine/threonine kinase 40	protein-coding	0.00719294901448883	-0.730656865031035
12	chr1	39651502	39651750	+	0	NA	intron (NM_012090, intron 1 of 92)	intron (NM_012090, intron 1 of 92)	101787	NM_012090	23499	Hs.472475	NM_012090	ENSG00000127603	MACF1	ABP620|ACF7|LIS9|MACF|OFC4	microtubule actin crosslinking factor 1	protein-coding	0.00798494442367094	-1.32683053396571
13	chr1	59314302	59315350	+	0	NA	intron (NR_108106, intron 1 of 1)	intron (NR_108106, intron 1 of 1)	64003	NR_034015	100131060	Hs.680604	NR_034014	ENSG00000234807	LINC01135	-	long intergenic non-protein coding RNA 1135	ncRNA	9.27275824300861e-06	-1.02243403213606
14	chr1	59347002	59347550	+	0	NA	intron (NR_108106, intron 1 of 1)	intron (NR_108106, intron 1 of 1)	96453	NR_034015	100131060	Hs.680604	NR_034014	ENSG00000234807	LINC01135	-	long intergenic non-protein coding RNA 1135	ncRNA	4.56515322903518e-05	-2.29232257949681
15	chr1	64808802	64810300	+	0	NA	Intergenic	Intergenic	-126261	NM_020925	57685	Hs.443891	NM_020925	ENSG00000158966	CACHD1	-	cache domain containing 1	protein-coding	0.00961891459357648	-0.764783100846793
16	chr1	94244152	94246000	+	0	NA	intron (NM_001261408, intron 2 of 13)	L2a|LINE|L2	-4137	NR_148965	723788	Hs.659312	NR_148965	ENSG00000137936	MIG7	-	mig-7	ncRNA	0.000946940306843421	-0.74697141864398
17	chr1	112794302	112794950	+	0	NA	Intergenic	Intergenic	-144210	NM_018704	55917	Hs.744100	NM_018704	ENSG00000143079	CTTNBP2NL	-	CTTNBP2 N-terminal like	protein-coding	0.00336954830440956	-0.967449491375266
18	chr1	151284052	151284400	+	0	NA	intron (NM_001369623, intron 2 of 11)	intron (NM_001369623, intron 2 of 11)	15666	NM_001198775	5298	Hs.632465	NM_002651	ENSG00000143393	PI4KB	NPIK|PI4K-BETA|PI4K92|PI4KBETA|PI4KIIIBETA|PIK4CB	phosphatidylinositol 4-kinase beta	protein-coding	0.00755866912385631	-1.16885829635335
19	chr1	151964802	151967000	+	0	NA	intron (NM_002966, intron 1 of 2)	CpG	434	NM_002966	6281	Hs.143873	NM_002966	ENSG00000197747	S100A10	42C|ANX2L|ANX2LG|CAL1L|CLP11|Ca[1]|GP11|P11|p10	S100 calcium binding protein A10	protein-coding	0.000231009783673966	-1.28505268268972
20	chr1	155931752	155932100	+	0	NA	exon (NM_001162383, exon 10 of 22)	exon (NM_001162383, exon 10 of 22)	-10799	NR_106796	102465442		NR_106796	ENSG00000277817	MIR6738	hsa-mir-6738	microRNA 6738	ncRNA	0.00694880169560306	-1.17547780612999
21	chr1	183971152	183971700	+	0	NA	intron (NM_001303421, intron 1 of 11)	intron (NM_001303421, intron 1 of 11)	35436	NM_001303420	23127	Hs.387995	NM_015101	ENSG00000198756	COLGALT2	C1orf17|ColGalT 2|GLT25D2	collagen beta(1-O)galactosyltransferase 2	protein-coding	0.00315650207987468	-0.905985476047819
22	chr1	201682452	201684400	+	0	NA	intron (NM_020443, intron 2 of 29)	intron (NM_020443, intron 2 of 29)	-5210	NR_049823	100847050		NR_049823	ENSG00000264802	MIR5191	-	microRNA 5191	ncRNA	0.00401952987633984	-0.813895579870687
23	chr1	203483152	203483450	+	0	NA	Intergenic	Intergenic	20020	NM_014359	26254	Hs.632468	NM_014359	ENSG00000188770	OPTC	OPT	opticin	protein-coding	0.00978516975912496	-1.32359659123351
24	chr1	204407752	204408150	+	0	NA	intron (NM_002646, intron 24 of 33)	intron (NM_002646, intron 24 of 33)	-27006	NM_032833	84919	Hs.304376	NM_032833	ENSG00000158615	PPP1R15B	CREP|MSSGM2	protein phosphatase 1 regulatory subunit 15B	protein-coding	0.00791314167722019	-1.14941821798554
25	chr1	210546452	210548150	+	0	NA	intron (NM_018194, intron 3 of 11)	intron (NM_018194, intron 3 of 11)	44591	NM_001170580	55733	Hs.58650	NM_018194	ENSG00000054392	HHAT	MART2|SKI1|Skn	hedgehog acyltransferase	protein-coding	0.0026831867367851	-0.676230270771661
26	chr1	223888252	223889400	+	0	NA	promoter-TSS (NM_001146068)	promoter-TSS (NM_001146068)	-469	NM_001146068	824	Hs.350899	NM_001748	ENSG00000162909	CAPN2	CANP2|CANPL2|CANPml|mCANP	calpain 2	protein-coding	0.00663954888342234	-0.7782297727932
27	chr1	223894252	223896050	+	0	NA	intron (NM_001146068, intron 1 of 20)	intron (NM_001146068, intron 1 of 20)	-5090	NM_001748	824	Hs.350899	NM_001748	ENSG00000162909	CAPN2	CANP2|CANPL2|CANPml|mCANP	calpain 2	protein-coding	0.00247080166956049	-0.880218747217361
28	chr1	229160452	229160700	+	0	NA	Intergenic	Intergenic	149972	NR_039659	100616234		NR_039659	ENSG00000283468	MIR4454	-	microRNA 4454	ncRNA	0.00343589255265491	-1.11875652977733
29	chr1	236073602	236074500	+	0	NA	Intergenic	Intergenic	-27038	NR_102436	1130	Hs.532411	NM_000081	ENSG00000143669	LYST	CHS|CHS1	lysosomal trafficking regulator	protein-coding	0.000874863145455211	-0.761016116137224
30	chr1	236080502	236081750	+	0	NA	Intergenic	Intergenic	-34113	NR_102436	1130	Hs.532411	NM_000081	ENSG00000143669	LYST	CHS|CHS1	lysosomal trafficking regulator	protein-coding	0.00576778099832109	-0.818991712271503
31	chr10	5895352	5895800	+	0	NA	Intergenic	AluSq|SINE|Alu	-35959	NM_001258452	84893	Hs.498543	NM_032807	ENSG00000134452	FBH1	FBXO18|Fbx18|hFBH1	F-box DNA helicase 1	protein-coding	0.000135820209425874	-1.68298643634882
32	chr10	32229352	32230250	+	0	NA	Intergenic	Intergenic	-11997	NM_001270697	94134	Hs.499264	NM_018287	ENSG00000165322	ARHGAP12	-	Rho GTPase activating protein 12	protein-coding	0.00885115985465464	-0.810245509478572
33	chr10	80911202	80912000	+	0	NA	intron (NM_020338, intron 3 of 24)	intron (NM_020338, intron 3 of 24)	82878	NM_020338	57178	Hs.193118	NM_020338	ENSG00000108175	ZMIZ1	MIZ|RAI17|TRAFIP10|ZIMP10	zinc finger MIZ-type containing 1	protein-coding	0.00672772174719779	-0.827359654110898
34	chr10	95218402	95219100	+	0	NA	intron (NM_013451, intron 1 of 53)	intron (NM_013451, intron 1 of 53)	23340	NM_133337	26509	Hs.602086	NM_013451	ENSG00000138119	MYOF	FER1L3	myoferlin	protein-coding	0.00376007835328464	-0.855949349222206
35	chr10	99301752	99303350	+	0	NA	intron (NM_024954, intron 1 of 2)	intron (NM_024954, intron 1 of 2)	-29647	NM_001291218	26287	Hs.73708	NM_020349	ENSG00000165887	ANKRD2	ARPP	ankyrin repeat domain 2	protein-coding	0.00897443660721858	-1.11925299347554
36	chr10	105650102	105650350	+	0	NA	intron (NM_024928, intron 8 of 9)	intron (NM_024928, intron 8 of 9)	27716	NM_024928	79991	Hs.62314	NM_024928	ENSG00000107960	STN1	AAF-44|AAF44|OBFC1|RPA-32|bA541N10.2	STN1 subunit of CST complex	protein-coding	0.00206923078845966	-1.56455117372596
37	chr10	105655152	105655900	+	0	NA	intron (NM_024928, intron 7 of 9)	L1MC4a|LINE|L1	22416	NM_024928	79991	Hs.62314	NM_024928	ENSG00000107960	STN1	AAF-44|AAF44|OBFC1|RPA-32|bA541N10.2	STN1 subunit of CST complex	protein-coding	0.00230678897864767	-0.925474965762565
38	chr10	105814252	105814600	+	0	NA	intron (NM_000494, intron 20 of 55)	intron (NM_000494, intron 20 of 55)	-6482	NR_030760	100126326		NR_030760	ENSG00000283788	MIR936	MIRN936|hsa-mir-936	microRNA 936	ncRNA	0.00313940528434466	-1.30338318759066
39	chr10	106087752	106091750	+	0	NA	intron (NM_001272013, intron 1 of 1)	intron (NM_001272013, intron 1 of 1)	-1001	NM_001272012	85450	Hs.523252	NM_033397	ENSG00000148841	ITPRIP	DANGER|KIAA1754|bA127L20|bA127L20.2	inositol 1,4,5-trisphosphate receptor interacting protein	protein-coding	0.00742080389239624	-0.779441747815222
40	chr10	116066252	116066700	+	0	NA	intron (NM_001001936, intron 10 of 18)	intron (NM_001001936, intron 10 of 18)	67103	NM_001320804	340706	Hs.197741	NM_198496	ENSG00000165816	VWA2	AMACO|CCSP-2|CCSP2|NET42	von Willebrand factor A domain containing 2	protein-coding	0.000514837106120179	-1.42153079274867
41	chr10	121427002	121427800	+	0	NA	intron (NM_004281, intron 1 of 3)	intron (NM_004281, intron 1 of 3)	16519	NM_004281	9531	Hs.523309	NM_004281	ENSG00000151929	BAG3	BAG-3|BIS|CAIR-1|MFM6	BCL2 associated athanogene 3	protein-coding	0.00394986338013706	-0.863060733253433
42	chr10	126848652	126850600	+	0	NA	promoter-TSS (NM_001083914)	promoter-TSS (NM_001083914)	-27	NM_001083914	1488	Hs.501345	NM_001329	ENSG00000175029	CTBP2	-	C-terminal binding protein 2	protein-coding	0.00478988656519116	-1.60072062692186
43	chr11	7678552	7678900	+	0	NA	TTS (NM_001351857)	TTS (NM_001351857)	15396	NM_001302827	51700	Hs.414362	NM_016229	ENSG00000166394	CYB5R2	B5R.2	cytochrome b5 reductase 2	protein-coding	0.00755866912385631	-0.907256952671815
44	chr11	8350202	8351050	+	0	NA	Intergenic	Intergenic	-60292	NM_001270428	4004	Hs.654426	NM_002315	ENSG00000166407	LMO1	RBTN1|RHOM1|TTG1	LIM domain only 1	protein-coding	0.00898992018960179	-0.586833875281099
45	chr11	13237602	13238400	+	0	NA	Intergenic	Intergenic	-60198	NM_001351804	406	Hs.65734	NM_001178	ENSG00000133794	ARNTL	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	aryl hydrocarbon receptor nuclear translocator like	protein-coding	0.00419565431826828	-1.27744467989968
46	chr11	64774352	64774650	+	0	NA	Intergenic	Intergenic	-7084	NR_037650	100528018	Hs.80132	NR_037650	ENSG00000273003	ARL2-SNX15	-	ARL2-SNX15 readthrough (NMD candidate)	ncRNA	0.00257060323756428	-1.6207759932209
47	chr11	66103202	66104600	+	0	NA	promoter-TSS (NM_004292)	promoter-TSS (NM_004292)	4	NM_001363560	9610	Hs.1030	NM_004292	ENSG00000174791	RIN1	-	Ras and Rab interactor 1	protein-coding	9.46131231999042e-05	-1.39507098733449
48	chr11	66623602	66624400	+	0	NA	promoter-TSS (NM_024036)	promoter-TSS (NM_024036)	-534	NM_001363524	78999	Hs.209979	NM_024036	ENSG00000173621	LRFN4	FIGLER6|SALM3|SALM3.	leucine rich repeat and fibronectin type III domain containing 4	protein-coding	0.00138726338745573	-1.2209708078311
49	chr11	70328352	70328550	+	0	NA	intron (NR_110766, intron 8 of 8)	intron (NR_110766, intron 8 of 8)	83816	NM_005231	2017	Hs.596164	NM_005231	ENSG00000085733	CTTN	EMS1	cortactin	protein-coding	0.0013925031427702	-1.90779714192783
50	chr11	76534552	76535000	+	0	NA	Intergenic	Intergenic	31980	NM_001318477	25987	Hs.8361	NM_015516	ENSG00000182704	TSKU	E2IG4|LRRC54|TSK	tsukushi, small leucine rich proteoglycan	protein-coding	0.00318446504071818	-1.4015755998023
51	chr11	102473802	102474350	+	0	NA	intron (NM_004771, intron 6 of 9)	intron (NM_004771, intron 6 of 9)	21987	NM_004771	9313	Hs.591946	NM_004771	ENSG00000137674	MMP20	AI2A2|MMP-20	matrix metallopeptidase 20	protein-coding	0.00304826030982475	-1.34658756657482
52	chr11	107433402	107434900	+	0	NA	intron (NM_001301010, intron 1 of 11)	MIR|SINE|MIR	2310	NM_138775	91801	Hs.503763	NM_138775	ENSG00000137760	ALKBH8	ABH8|TRM9|TRMT9|TRMT9A	alkB homolog 8, tRNA methyltransferase	protein-coding	0.00305478032894514	-1.21859504748334
53	chr11	125495202	125497200	+	0	NA	promoter-TSS (NM_001330428)	promoter-TSS (NM_001330428)	-50	NM_001274	1111	Hs.24529	NM_001274	ENSG00000149554	CHEK1	CHK1	checkpoint kinase 1	protein-coding	0.00737637075460509	-0.695261232448022
54	chr11	128318352	128318950	+	0	NA	Intergenic	Intergenic	73554	NM_005238	2113	Hs.369438	NM_005238	ENSG00000134954	ETS1	ETS-1|EWSR2|c-ets-1|p54	ETS proto-oncogene 1, transcription factor	protein-coding	0.00826840696482209	-0.961753838441377
55	chr12	6276952	6277300	+	0	NA	Intergenic	MIR|SINE|MIR	-31986	NM_001330312	928	Hs.114286	NM_001769	ENSG00000010278	CD9	BTCC-1|DRAP-27|MIC3|MRP-1|TSPAN-29|TSPAN29	CD9 molecule	protein-coding	0.000489129836637303	-1.7660199954644
56	chr12	6387302	6389750	+	0	NA	Intergenic	Intergenic	-31076	NM_018173	55200	Hs.631660	NM_018173	ENSG00000008323	PLEKHG6	MyoGEF	pleckstrin homology and RhoGEF domain containing G6	protein-coding	0.00033783796063706	-1.45733762221005
57	chr12	6480102	6480700	+	0	NA	intron (NM_001159576, intron 1 of 11)	intron (NM_001159576, intron 1 of 11)	-3925	NM_001270987	4055	Hs.1116	NM_002342	ENSG00000111321	LTBR	D12S370|LT-BETA-R|TNF-R-III|TNFCR|TNFR-RP|TNFR2-RP|TNFR3|TNFRSF3	lymphotoxin beta receptor	protein-coding	0.000117978715512523	-0.989391470057483
