PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	1406802	1407250	+	0	NA	promoter-TSS (NM_031921)	promoter-TSS (NM_031921)	-119	NM_031921	83858	Hs.729021	NM_031921	ENSG00000160072	ATAD3B	AAA-TOB3|TOB3	ATPase family AAA domain containing 3B	protein-coding	0.00322434589138871	1.03342697234144
2	chr1	6453002	6454250	+	0	NA	5' UTR (NM_007274, exon 1 of 9)	5' UTR (NM_007274, exon 1 of 9)	200	NM_007274	11332	Hs.126137	NM_007274	ENSG00000097021	ACOT7	ACH1|ACT|BACH|CTE-II|LACH|LACH1|hBACH	acyl-CoA thioesterase 7	protein-coding	0.00947659786467766	0.698718894943543
3	chr1	6672802	6674150	+	0	NA	promoter-TSS (NM_153812)	promoter-TSS (NM_153812)	-315	NM_153812	148479	Hs.516079	NM_153812	ENSG00000116273	PHF13	PHF5|SPOC1	PHD finger protein 13	protein-coding	0.00206958021752104	0.928229746289989
4	chr1	7764402	7765050	+	0	NA	promoter-TSS (NM_001349619)	promoter-TSS (NM_001349619)	-70	NM_001349618	23261	Hs.397705	NM_015215	ENSG00000171735	CAMTA1	CANPMR	calmodulin binding transcription activator 1	protein-coding	0.00239354390215068	1.20144975125324
5	chr1	8021152	8022100	+	0	NA	promoter-TSS (NM_001123377)	promoter-TSS (NM_001123377)	-88	NM_001123377	11315	Hs.419640	NM_007262	ENSG00000116288	PARK7	DJ-1|DJ1|GATD2|HEL-S-67p	Parkinsonism associated deglycase	protein-coding	0.00341638068036763	0.869277277280287
6	chr1	8085802	8086900	+	0	NA	promoter-TSS (NM_018948)	promoter-TSS (NM_018948)	18	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding	5.77417695560117e-06	1.3542823195436
7	chr1	24969202	24970100	+	0	NA	promoter-TSS (NR_159380)	promoter-TSS (NR_159380)	-142	NM_001366577	10250	Hs.18192	NM_005839	ENSG00000133226	SRRM1	160-KD|POP101|SRM160	serine and arginine repetitive matrix 1	protein-coding	0.00335258384319008	1.3567793525392
8	chr1	25573552	25574450	+	0	NA	promoter-TSS (NR_135143)	promoter-TSS (NR_135143)	9	NR_135785	57035	Hs.259412	NM_020317	ENSG00000117616	RSRP1	C1orf63|NPD014	arginine and serine rich protein 1	protein-coding	0.00055495406334198	1.6337827191422
9	chr1	25942752	25943400	+	0	NA	promoter-TSS (NM_001289010)	promoter-TSS (NM_001289010)	-883	NM_001289010	57134	Hs.197043	NM_020379	ENSG00000117643	MAN1C1	HMIC|MAN1A3|MAN1C|pp6318	mannosidase alpha class 1C member 1	protein-coding	0.00512984559763378	0.994689151551076
10	chr1	26185752	26186150	+	0	NA	promoter-TSS (NM_001287490)	promoter-TSS (NM_001287490)	-2	NM_001287490	79000	Hs.149305	NM_024037	ENSG00000127423	AUNIP	AIBP|C1orf135	aurora kinase A and ninein interacting protein	protein-coding	0.00934058764208205	0.884853990873641
11	chr1	26946802	26948100	+	0	NA	Intergenic	CpG	66418	NR_031740	100302190		NR_031740	ENSG00000238705	MIR1976	hsa-mir-1976	microRNA 1976	ncRNA	0.00431364474504563	0.972227395274169
12	chr1	27481452	27481800	+	0	NA	promoter-TSS (NM_003047)	promoter-TSS (NM_003047)	-10	NM_003047	6548	Hs.469116	NM_003047	ENSG00000090020	SLC9A1	APNH|LIKNS|NHE-1|NHE1|PPP1R143	solute carrier family 9 member A1	protein-coding	0.00621067674434282	1.01030499491912
13	chr1	28832102	28833150	+	0	NA	promoter-TSS (NR_030725)	promoter-TSS (NR_030725)	71	NR_030726	1104	Hs.469723	NM_001269	ENSG00000180198	RCC1	CHC1|RCC1-I|SNHG3-RCC1	regulator of chromosome condensation 1	protein-coding	0.00319005198749926	1.25048112939779
14	chr1	28907852	28909650	+	0	NA	promoter-TSS (NR_146387)	promoter-TSS (NR_146387)	-366	NR_146385	85028	Hs.632377	NR_024127	ENSG00000197989	SNHG12	ASLNC04080|C1orf79|LINC00100|NCRNA00100|PNAS-123	small nucleolar RNA host gene 12	ncRNA	0.00014678794659762	1.37029130982166
15	chr1	32800802	32802050	+	0	NA	intron (NR_052852, intron 1 of 1)	CpG	408	NM_023009	65108	Hs.75061	NM_023009	ENSG00000175130	MARCKSL1	F52|MACMARCKS|MLP|MLP1|MRP	MARCKS like 1	protein-coding	0.000392464352086797	1.37757261527103
16	chr1	35657502	35659350	+	0	NA	exon (NM_005066, exon 1 of 10)	exon (NM_005066, exon 1 of 10)	320	NM_005066	6421	Hs.355934	NM_005066	ENSG00000116560	SFPQ	POMP100|PPP1R140|PSF	splicing factor proline and glutamine rich	protein-coding	3.71187332520332e-05	1.55113235489052
17	chr1	41444902	41446000	+	0	NA	promoter-TSS (NR_125440)	promoter-TSS (NR_125440)	83	NM_001905	1503	Hs.473087	NM_001905	ENSG00000171793	CTPS1	CTPS|GATD5|IMD24	CTP synthase 1	protein-coding	0.00666148575354706	0.656893857677814
18	chr1	43147602	43148900	+	0	NA	promoter-TSS (NR_132737)	promoter-TSS (NR_132737)	162	NM_004559	4904	Hs.473583	NM_004559	ENSG00000065978	YBX1	BP-8|CBF-A|CSDA2|CSDB|DBPB|EFI-A|MDR-NF1|NSEP-1|NSEP1|YB-1|YB1	Y-box binding protein 1	protein-coding	0.000380156129188048	1.06291909758292
19	chr1	43282352	43283250	+	0	NA	promoter-TSS (NM_001017922)	promoter-TSS (NM_001017922)	8	NM_001017922	114625	Hs.439437	NM_018538	ENSG00000164010	ERMAP	BTN5|PRO2801|RD|SC	erythroblast membrane associated protein (Scianna blood group)	protein-coding	0.000679693028311244	0.922851340773178
20	chr1	45265352	45266650	+	0	NA	promoter-TSS (NM_004073)	promoter-TSS (NM_004073)	-48	NM_004073	1263	Hs.632415	NM_004073	ENSG00000173846	PLK3	CNK|FNK|PLK-3|PRK	polo like kinase 3	protein-coding	9.28744376215482e-05	1.44321721879825
21	chr1	45987052	45988550	+	0	NA	promoter-TSS (NM_181697)	promoter-TSS (NM_181697)	-191	NM_181696	5052	Hs.180909	NM_002574	ENSG00000117450	PRDX1	MSP23|NKEF-A|NKEFA|PAG|PAGA|PAGB|PRX1|PRXI|TDPX2	peroxiredoxin 1	protein-coding	2.86379663852871e-05	1.70201410848815
22	chr1	46048952	46050850	+	0	NA	intron (NM_152298, intron 1 of 13)	CpG	188	NM_002482	4678	Hs.319334	NM_002482	ENSG00000132780	NASP	FLB7527|HMDRA1|PRO1999	nuclear autoantigenic sperm protein	protein-coding	0.000168053359165378	1.26427314162322
23	chr1	46151752	46154200	+	0	NA	promoter-TSS (NM_016486)	promoter-TSS (NM_016486)	-771	NM_021639	60313	Hs.238432	NM_021639	ENSG00000159592	GPBP1L1	SP192	GC-rich promoter binding protein 1 like 1	protein-coding	0.00391968620167611	1.03426976651231
24	chr1	48937502	48938250	+	0	NA	promoter-TSS (NM_001286239)	promoter-TSS (NM_001286239)	0	NM_001286238	54558	Hs.538103	NM_019073	ENSG00000132122	SPATA6	HASH|SRF-1|SRF1	spermatogenesis associated 6	protein-coding	0.00164561358809193	1.16771931409555
25	chr1	59248402	59251500	+	0	NA	promoter-TSS (NR_034014)	promoter-TSS (NR_034014)	-232	NM_002228	3725	Hs.696684	NM_002228	ENSG00000177606	JUN	AP-1|AP1|c-Jun|p39	Jun proto-oncogene, AP-1 transcription factor subunit	protein-coding	0.00301454505719041	1.20529525280132
26	chr1	91852702	91853200	+	0	NA	intron (NM_001017975, intron 4 of 38)	LSU-rRNA_Hsa|rRNA|rRNA	17443	NM_001017975	164045	Hs.454818	NM_001017975	ENSG00000162669	HFM1	MER3|POF9|SEC63D1|Si-11|Si-11-6|helicase	helicase for meiosis 1	protein-coding	4.4797954170981e-07	0.72036869512684
27	chr1	93297152	93298100	+	0	NA	promoter-TSS (NR_146333)	promoter-TSS (NR_146333)	29	NM_000969	6125	Hs.532359	NM_000969	ENSG00000122406	RPL5	L5|MSTP030|PPP1R135|uL18	ribosomal protein L5	protein-coding	0.00549194917007332	0.661028541019538
28	chr1	109940202	109940900	+	0	NA	promoter-TSS (NM_002959)	promoter-TSS (NM_002959)	-11	NM_002959	6272	Hs.485195	NM_002959	ENSG00000134243	SORT1	Gp95|LDLCQ6|NT3|NTR3	sortilin 1	protein-coding	0.00274624320959727	1.10573442466547
29	chr1	113497902	113500400	+	0	NA	promoter-TSS (NM_003051)	promoter-TSS (NM_003051)	114	NR_103743	100506392	Hs.418285	NR_103743	ENSG00000226419	SLC16A1-AS1	-	SLC16A1 antisense RNA 1	ncRNA	0.00604421118689048	0.763073073636436
30	chr1	121484352	121485500	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	224016	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo	0.00596685695610462	0.83762901683977
31	chr1	145438102	145438550	+	0	NA	promoter-TSS (NM_006472)	promoter-TSS (NM_006472)	-164	NM_006472	10628	Hs.533977	NM_006472	ENSG00000265972	TXNIP	ARRDC6|EST01027|HHCPA78|THIF|VDUP1	thioredoxin interacting protein	protein-coding	0.00940825645025289	0.831788343533412
32	chr1	145455402	145455600	+	0	NA	TTS (NM_001330685)	TTS (NM_001330685)	14899	NM_032305	84265	Hs.591456	NM_032305	ENSG00000121851	POLR3GL	RPC32HOM|flj32422	RNA polymerase III subunit G like	protein-coding	0.00120294200214642	1.27487396002479
33	chr1	145476752	145477700	+	0	NA	exon (NM_153713, exon 1 of 6)	exon (NM_153713, exon 1 of 6)	157	NM_153713	128077	Hs.740619	NM_153713	ENSG00000271601	LIX1L	-	limb and CNS expressed 1 like	protein-coding	0.000123628736765855	0.940084161120209
34	chr1	145507352	145508000	+	0	NA	non-coding (NR_147182, exon 2 of 3)	non-coding (NR_147182, exon 2 of 3)	119	NM_005105	9939	Hs.591455	NM_005105	ENSG00000265241	RBM8A	BOV-1A|BOV-1B|BOV-1C|C1DELq21.1|DEL1q21.1|MDS014|RBM8|RBM8B|TAR|Y14|ZNRP|ZRNP1	RNA binding motif protein 8A	protein-coding	0.000332860784535888	1.24451542268076
35	chr1	145515352	145516850	+	0	NA	promoter-TSS (NR_104033)	promoter-TSS (NR_104033)	-25	NR_002328	114814	Hs.356873	NM_057163	ENSG00000211451	GNRHR2	GnRH-II-R	gonadotropin releasing hormone receptor 2 (pseudogene)	pseudo	0.0063408371972254	0.845516048352201
36	chr1	149856902	149860500	+	0	NA	promoter-TSS (NM_003528)	promoter-TSS (NM_003528)	176	NM_003517	8338	Hs.408067	NM_003517	ENSG00000184260	HIST2H2AC	H2A|H2A-GL101|H2A/q|H2AFQ	histone cluster 2 H2A family member c	protein-coding	0.00874607178460789	0.879583106741948
37	chr1	149981652	149982950	+	0	NA	intron (NM_020205, intron 1 of 11)	CpG	374	NM_020205	56957	Hs.98322	NM_020205	ENSG00000264522	OTUD7B	CEZANNE|ZA20D1	OTU deubiquitinase 7B	protein-coding	5.25189013322703e-06	1.44276886011793
38	chr1	150336002	150337450	+	0	NA	5' UTR (NM_001297673, exon 1 of 11)	5' UTR (NM_001297673, exon 1 of 11)	139	NM_001297674	23248	Hs.213666	NM_015203	ENSG00000163125	RPRD2	HSPC099|KIAA0460	regulation of nuclear pre-mRNA domain containing 2	protein-coding	0.00461526251162073	0.703503869625434
39	chr1	150487752	150488500	+	0	NA	promoter-TSS (NR_051960)	promoter-TSS (NR_051960)	-107	NR_051960	100874054	Hs.576460	NR_051960	ENSG00000228126	FALEC	FAL1|LINC00568|ncRNA-a1	focally amplified long non-coding RNA in epithelial cancer	ncRNA	0.000564629500222295	1.21784226193062
40	chr1	150551352	150552500	+	0	NA	exon (NM_182763, exon 1 of 2)	exon (NM_182763, exon 1 of 2)	160	NM_021960	4170	Hs.632486	NM_021960	ENSG00000143384	MCL1	BCL2L3|EAT|MCL1-ES|MCL1L|MCL1S|Mcl-1|TM|bcl2-L-3|mcl1/EAT	MCL1 apoptosis regulator, BCL2 family member	protein-coding	3.1070727307232e-09	1.98267457934301
