PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	3773152	3775050	+	0	NA	promoter-TSS (NM_014704)	promoter-TSS (NM_014704)	61	NM_001320136	1677	Hs.133089	NM_004402	ENSG00000169598	DFFB	CAD|CPAN|DFF-40|DFF2|DFF40	DNA fragmentation factor subunit beta	protein-coding	0.000151723183949865	-0.873478024981237
2	chr1	6217202	6218450	+	0	NA	intron (NM_015557, intron 3 of 41)	intron (NM_015557, intron 3 of 41)	22555	NM_015557	26038	Hs.522898	NM_015557	ENSG00000116254	CHD5	CHD-5	chromodomain helicase DNA binding protein 5	protein-coding	0.000243852060899877	-1.16637965142902
3	chr1	8144002	8144350	+	0	NA	Intergenic	Intergenic	-57807	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding	0.00449149290753134	-1.22556058603165
4	chr1	8242252	8242850	+	0	NA	Intergenic	Intergenic	-26181	NR_125998	102724539	Hs.516816	NR_125998	ENSG00000227634	LINC01714	-	long intergenic non-protein coding RNA 1714	ncRNA	0.000726996841315122	-1.3508445546693
5	chr1	11967802	11970000	+	0	NA	TTS (NR_002754)	TTS (NR_002754)	690	NR_002754	26829		NR_002754	ENSG00000199347	RNU5E-1	RNU5E|U5E	RNA, U5E small nuclear 1	snRNA	1.30469318008653e-09	-1.27308062204113
6	chr1	17222052	17223300	+	0	NA	TTS (NR_004400).4	TTS (NR_004400).4	201	NR_004430	26871		NR_004430	ENSG00000206652	RNU1-1	HSD1|HU1-1|RNU1|RNU1A|RNU1A3|RNU1G4|Rnu1a1|U1|U1A1	RNA, U1 small nuclear 1	snRNA	0.00314889815711636	-1.38974102847776
7	chr1	17230352	17232250	+	0	NA	Intergenic	CpG	8826	NR_004430	26871		NR_004430	ENSG00000206652	RNU1-1	HSD1|HU1-1|RNU1|RNU1A|RNU1A3|RNU1G4|Rnu1a1|U1|U1A1	RNA, U1 small nuclear 1	snRNA	3.44810007980428e-10	-1.6595953268735
8	chr1	23158552	23158900	+	0	NA	intron (NM_004442, intron 3 of 15)	MIRb|SINE|MIR	30993	NR_036214	100422914		NR_036214	ENSG00000264014	MIR4253	-	microRNA 4253	ncRNA	0.00557798904132097	-1.08946944129394
9	chr1	28974552	28976000	+	0	NA	TTS (NR_146731)	TTS (NR_146731)	164	NR_004407	26824	Hs.640266	NR_004407	ENSG00000274978	RNU11	RNU11-1|U11	RNA, U11 small nuclear	snRNA	1.39016236058242e-06	-1.30076542249564
10	chr1	31643752	31643900	+	0	NA	Intergenic	Intergenic	68908	NM_024522	79570	Hs.470259	NM_024522	ENSG00000084628	NKAIN1	FAM77C	sodium/potassium transporting ATPase interacting 1	protein-coding	0.00689616463129943	-1.01306659542309
11	chr1	33352252	33352400	+	0	NA	intron (NM_002143, intron 1 of 3)	CpG	234	NM_002143	3208	Hs.632391	NM_002143	ENSG00000121905	HPCA	BDR2|DYT2	hippocalcin	protein-coding	0.00409231615062719	-1.2788680538596
12	chr1	38604252	38604500	+	0	NA	Intergenic	Intergenic	49473	NR_037432	100500801		NR_037432	ENSG00000265596	MIR3659	mir-3659	microRNA 3659	ncRNA	0.00222978638178127	-1.43185252603799
13	chr1	39649352	39649900	+	0	NA	intron (NM_012090, intron 1 of 92)	intron (NM_012090, intron 1 of 92)	99787	NM_012090	23499	Hs.472475	NM_012090	ENSG00000127603	MACF1	ABP620|ACF7|LIS9|MACF|OFC4	microtubule actin crosslinking factor 1	protein-coding	0.000519787188771617	-1.1235814594701
14	chr1	41884552	41884850	+	0	NA	Intergenic	MIR3|SINE|MIR	-43360	NR_135817	101929901		NR_135817	ENSG00000229901	LOC101929901	-	uncharacterized LOC101929901	ncRNA	0.00518601625168346	-1.04969367228809
15	chr1	41961102	41962250	+	0	NA	Intergenic	MIR|SINE|MIR	-11322	NM_001956	1907	Hs.1407	NM_001956	ENSG00000127129	EDN2	ET-2|ET2|PPET2	endothelin 2	protein-coding	0.000793498000507432	-1.05165397518583
16	chr1	42127752	42128500	+	0	NA	intron (NM_001127714, intron 1 of 7)	CpG	-177772	NM_001956	1907	Hs.1407	NM_001956	ENSG00000127129	EDN2	ET-2|ET2|PPET2	endothelin 2	protein-coding	0.00480504073450746	-1.14503822480324
17	chr1	42248852	42249300	+	0	NA	intron (NM_024503, intron 1 of 8)	intron (NM_024503, intron 1 of 8)	135517	NR_038260	59269	Hs.403972	NM_024503	ENSG00000127124	HIVEP3	KBP-1|KBP1|KRC|SHN3|Schnurri-3|ZAS3|ZNF40C	human immunodeficiency virus type I enhancer binding protein 3	protein-coding	0.00999996151076805	-0.942960983080389
18	chr1	45186752	45188000	+	0	NA	TTS (NR_002753)	TTS (NR_002753)	197	NR_002753	26828		NR_002753	ENSG00000199377	RNU5F-1	RNU5F|U5F	RNA, U5F small nuclear 1	snRNA	3.57152554791196e-07	-1.99803355720471
19	chr1	46648852	46649300	+	0	NA	intron (NM_005727, intron 3 of 8)	intron (NM_005727, intron 3 of 8)	-6916	NM_001328655	110117498	Hs.655387	NM_001328655	ENSG00000250719	P3R3URF	-	PIK3R3 upstream reading frame	protein-coding	0.00501192900269987	-0.943905844385741
