PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	565602	565800	+	0	NA	Intergenic	Intergenic	-1312	NR_125957	101928626	Hs.637667	NR_125957	ENSG00000230021	LOC101928626	-	uncharacterized LOC101928626	ncRNA	0.00541323564910959	1.41177862068407
2	chr1	569702	570100	+	0	NA	Intergenic	Intergenic	-1836	NR_162149	113219467		NR_162149		MIR12136	-	microRNA 12136	ncRNA	0.000171724729597103	1.01956478782689
3	chr1	713852	714400	+	0	NA	promoter-TSS (NR_033908)	promoter-TSS (NR_033908)	-58	NR_033908	100288069	Hs.527521	NR_033908		LOC100288069	-	uncharacterized LOC100288069	ncRNA	7.67542934540967e-05	-1.20049937174165
4	chr1	894552	894900	+	0	NA	promoter-TSS (NM_015658)	promoter-TSS (NM_015658)	-90	NM_015658	26155	Hs.405987	NM_015658	ENSG00000188976	NOC2L	NET15|NET7|NIR|PPP1R112	NOC2 like nucleolar associated transcriptional repressor	protein-coding	0.00239416725129969	-1.11960760466722
5	chr1	935252	936350	+	0	NA	promoter-TSS (NM_001142467)	promoter-TSS (NM_001142467)	-324	NM_021170	57801	Hs.154029	NM_021170	ENSG00000188290	HES4	bHLHb42	hes family bHLH transcription factor 4	protein-coding	6.47551345949812e-05	-1.347116835099
6	chr1	937102	937500	+	0	NA	Intergenic	CpG-24	-1824	NM_021170	57801	Hs.154029	NM_021170	ENSG00000188290	HES4	bHLHb42	hes family bHLH transcription factor 4	protein-coding	0.00550246412708425	-1.20632275755907
7	chr1	954552	955700	+	0	NA	promoter-TSS (NM_001305275)	promoter-TSS (NM_001305275)	-374	NM_198576	375790	Hs.273330	NM_198576	ENSG00000188157	AGRN	AGRIN|CMS8|CMSPPD	agrin	protein-coding	6.34164133242715e-05	-1.44171318081899
8	chr1	994552	995350	+	0	NA	promoter-TSS (NR_148960)	promoter-TSS (NR_148960)	-163	NR_148960	100288175	Hs.713286	NR_148960	ENSG00000217801	LOC100288175	-	uncharacterized LOC100288175	ncRNA	0.00949121252034412	-1.07015362200822
9	chr1	1014802	1015800	+	0	NA	Intergenic	Intergenic	-5615	NM_001205252	401934	Hs.568137	NM_001205252	ENSG00000237330	RNF223	-	ring finger protein 223	protein-coding	8.48730406865902e-08	-2.53030313033971
10	chr1	1051202	1052200	+	0	NA	promoter-TSS (NM_001363525)	promoter-TSS (NM_001363525)	-232	NM_001363525	54991	Hs.235095	NM_017891	ENSG00000131591	C1orf159	-	chromosome 1 open reading frame 159	protein-coding	6.04141729762716e-05	-0.951925313657212
