PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	2136602	2136900	+	0	NA	intron (NM_001282670, intron 2 of 7)	intron (NM_001282670, intron 2 of 7)	2421	NM_001146310	199990	Hs.107101	NM_182533	ENSG00000162585	FAAP20	C1orf86|FP7162	FA core complex associated protein 20	protein-coding	0.00567183953497809	1.01201586862529
2	chr1	3229552	3230100	+	0	NA	intron (NM_199454, intron 3 of 16)	intron (NM_199454, intron 3 of 16)	-141403	NM_014448	27237	Hs.87435	NM_014448	ENSG00000130762	ARHGEF16	GEF16|NBR	Rho guanine nucleotide exchange factor 16	protein-coding	0.00385798175019304	0.648927040583386
3	chr1	6217202	6218450	+	0	NA	intron (NM_015557, intron 3 of 41)	intron (NM_015557, intron 3 of 41)	22555	NM_015557	26038	Hs.522898	NM_015557	ENSG00000116254	CHD5	CHD-5	chromodomain helicase DNA binding protein 5	protein-coding	0.000207289274483265	-0.911984923448772
4	chr1	8070152	8070350	+	0	NA	Intergenic	Intergenic	16118	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding	0.0033716432907817	1.22564691360745
5	chr1	8085802	8086900	+	0	NA	promoter-TSS (NM_018948)	promoter-TSS (NM_018948)	18	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding	0.00316787388877447	-1.18930900637016
6	chr1	8157352	8157900	+	0	NA	Intergenic	Intergenic	-71257	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding	0.00746524310089063	0.7973674764819
7	chr1	9533202	9533450	+	0	NA	Intergenic	Intergenic	-44271	NR_104622	100506022	Hs.131775	NR_104622	ENSG00000284693	LINC02606	-	long intergenic non-protein coding RNA 2606	ncRNA	0.00736698672994378	-0.932099672318025
8	chr1	10092502	10093900	+	0	NA	5' UTR (NM_001105562, exon 1 of 28)	5' UTR (NM_001105562, exon 1 of 28)	185	NM_006048	10277	Hs.593974	NM_006048	ENSG00000130939	UBE4B	E4|HDNB1|UBOX3|UFD2|UFD2A	ubiquitination factor E4B	protein-coding	0.000237323927631068	-0.90243584168969
9	chr1	17004552	17004800	+	0	NA	Intergenic	Intergenic	-3074	NR_037446	100500876		NR_037446	ENSG00000263811	MIR3675	-	microRNA 3675	ncRNA	0.000437600084531891	-1.45771669813461
10	chr1	17053802	17054100	+	0	NA	Intergenic	Intergenic	-7299	NR_026567	284729	Hs.548239	NR_026567	ENSG00000268869	ESPNP	dJ1182A14.1	espin pseudogene	pseudo	0.00346080425673556	-1.44544578023776
