PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	6217202	6218450	+	0	NA	intron (NM_015557, intron 3 of 41)	intron (NM_015557, intron 3 of 41)	22555	NM_015557	26038	Hs.522898	NM_015557	ENSG00000116254	CHD5	CHD-5	chromodomain helicase DNA binding protein 5	protein-coding	0.000207289274483265	-0.911984923448772
2	chr1	8085802	8086900	+	0	NA	promoter-TSS (NM_018948)	promoter-TSS (NM_018948)	18	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding	0.00316787388877447	-1.18930900637016
3	chr1	9533202	9533450	+	0	NA	Intergenic	Intergenic	-44271	NR_104622	100506022	Hs.131775	NR_104622	ENSG00000284693	LINC02606	-	long intergenic non-protein coding RNA 2606	ncRNA	0.00736698672994378	-0.932099672318025
4	chr1	10092502	10093900	+	0	NA	5' UTR (NM_001105562, exon 1 of 28)	5' UTR (NM_001105562, exon 1 of 28)	185	NM_006048	10277	Hs.593974	NM_006048	ENSG00000130939	UBE4B	E4|HDNB1|UBOX3|UFD2|UFD2A	ubiquitination factor E4B	protein-coding	0.000237323927631068	-0.90243584168969
5	chr1	17004552	17004800	+	0	NA	Intergenic	Intergenic	-3074	NR_037446	100500876		NR_037446	ENSG00000263811	MIR3675	-	microRNA 3675	ncRNA	0.000437600084531891	-1.45771669813461
6	chr1	17053802	17054100	+	0	NA	Intergenic	Intergenic	-7299	NR_026567	284729	Hs.548239	NR_026567	ENSG00000268869	ESPNP	dJ1182A14.1	espin pseudogene	pseudo	0.00346080425673556	-1.44544578023776
7	chr1	31867502	31867950	+	0	NA	Intergenic	MIR3|SINE|MIR	-14898	NM_001199038	347735	Hs.270655	NM_018565	ENSG00000168528	SERINC2	FKSG84|PRO0899|TDE2|TDE2L	serine incorporator 2	protein-coding	0.000193560124233223	-1.15527751918084
8	chr1	32800802	32802050	+	0	NA	intron (NR_052852, intron 1 of 1)	CpG	408	NM_023009	65108	Hs.75061	NM_023009	ENSG00000175130	MARCKSL1	F52|MACMARCKS|MLP|MLP1|MRP	MARCKS like 1	protein-coding	0.0013594254938903	-1.32559755120091
9	chr1	35253752	35254000	+	0	NA	Intergenic	Intergenic	-4724	NM_002060	2701	Hs.296310	NM_002060	ENSG00000187513	GJA4	CX37	gap junction protein alpha 4	protein-coding	0.00850027981979316	-1.02089257181659
10	chr1	42420102	42421800	+	0	NA	intron (NR_038261, intron 1 of 3)	intron (NR_038261, intron 1 of 3)	-36358	NM_001127714	59269	Hs.403972	NM_024503	ENSG00000127124	HIVEP3	KBP-1|KBP1|KRC|SHN3|Schnurri-3|ZAS3|ZNF40C	human immunodeficiency virus type I enhancer binding protein 3	protein-coding	0.00358749567905759	-0.974527121679909
