PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	565602	565800	+	0	NA	Intergenic	Intergenic	-1312	NR_125957	101928626	Hs.637667	NR_125957	ENSG00000230021	LOC101928626	-	uncharacterized LOC101928626	ncRNA	0.00849313557945752	1.31848881634429
2	chr1	48937502	48938250	+	0	NA	promoter-TSS (NM_001286239)	promoter-TSS (NM_001286239)	0	NM_001286238	54558	Hs.538103	NM_019073	ENSG00000132122	SPATA6	HASH|SRF-1|SRF1	spermatogenesis associated 6	protein-coding	7.64828644597364e-05	1.27910631325927
3	chr1	59118152	59118600	+	0	NA	Intergenic	Intergenic	47358	NM_001085487	114803	Hs.744921	NM_001085487	ENSG00000162601	MYSM1	2A-DUB|2ADUB|BMFS4	Myb like, SWIRM and MPN domains 1	protein-coding	0.00564542393329228	1.09785664997557
4	chr1	59245302	59248450	+	0	NA	3' UTR (NM_002228, exon 1 of 1)	3' UTR (NM_002228, exon 1 of 1)	2843	NM_002228	3725	Hs.696684	NM_002228	ENSG00000177606	JUN	AP-1|AP1|c-Jun|p39	Jun proto-oncogene, AP-1 transcription factor subunit	protein-coding	0.00262518653857438	1.39832944271745
5	chr1	65507252	65507400	+	0	NA	intron (NM_001321853, intron 2 of 26)	intron (NM_001321853, intron 2 of 26)	16199	NR_037443	100500854		NR_037443	ENSG00000265996	MIR3671	-	microRNA 3671	ncRNA	0.00786326203852533	1.20508913688214
6	chr1	65925152	65925350	+	0	NA	intron (NM_001003680, intron 2 of 19)	LTR41|LTR|ERVL	38852	NM_001198681	54741	Hs.23581	NM_017526	ENSG00000213625	LEPROT	LEPR|OB-RGRP|OBRGRP|VPS55	leptin receptor overlapping transcript	protein-coding	0.00608964796366011	1.12665102223374
7	chr1	67191602	67192100	+	0	NA	intron (NM_001350218, intron 17 of 22)	LTR41|LTR|ERVL	-26291	NM_152665	200132	Hs.479226	NM_152665	ENSG00000152760	TCTEX1D1	-	Tctex1 domain containing 1	protein-coding	0.00998153349649841	0.836998444456713
8	chr1	68936152	68936500	+	0	NA	Intergenic	Intergenic	-20689	NM_000329	6121	Hs.2133	NM_000329	ENSG00000116745	RPE65	BCO3|LCA2|RP20|mRPE65|p63|rd12|sRPE65	retinoid isomerohydrolase RPE65	protein-coding	0.000936866472820029	1.67606067277276
9	chr1	69347402	69347750	+	0	NA	Intergenic	Tigger1|DNA|TcMar-Tigger	-174005	NR_146608	105378785	Hs.127911	NR_146608	ENSG00000223883	LINC01707	-	long intergenic non-protein coding RNA 1707	ncRNA	0.00241395256657809	1.67117044577956
10	chr1	71545552	71547350	+	0	NA	promoter-TSS (NR_046217)	promoter-TSS (NR_046217)	267	NM_203350	9406	Hs.194718	NM_005455	ENSG00000132485	ZRANB2	ZIS|ZIS1|ZIS2|ZNF265	zinc finger RANBP2-type containing 2	protein-coding	0.0013925031427702	1.17430790977943
11	chr1	74663252	74664500	+	0	NA	promoter-TSS (NM_001199328)	promoter-TSS (NM_001199328)	-16	NM_001105659	127255	Hs.644625	NM_145258	ENSG00000162620	LRRIQ3	LRRC44	leucine rich repeats and IQ motif containing 3	protein-coding	0.00590924824826225	1.25074665820698
