PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	1280102	1280750	+	0	NA	intron (NM_001330311, intron 1 of 14)	intron (NM_001330311, intron 1 of 14)	4372	NM_004421	1855	Hs.731450	NM_004421	ENSG00000107404	DVL1	DRS2|DVL|DVL1L1|DVL1P1	dishevelled segment polarity protein 1	protein-coding	0.00330872110245959	-1.13658788220343
2	chr1	3229552	3230100	+	0	NA	intron (NM_199454, intron 3 of 16)	intron (NM_199454, intron 3 of 16)	-141403	NM_014448	27237	Hs.87435	NM_014448	ENSG00000130762	ARHGEF16	GEF16|NBR	Rho guanine nucleotide exchange factor 16	protein-coding	0.00016501006177672	-0.955448258532801
3	chr1	3773152	3775050	+	0	NA	promoter-TSS (NM_014704)	promoter-TSS (NM_014704)	61	NM_001320136	1677	Hs.133089	NM_004402	ENSG00000169598	DFFB	CAD|CPAN|DFF-40|DFF2|DFF40	DNA fragmentation factor subunit beta	protein-coding	0.000956631714729904	-0.816190043044369
4	chr1	3816102	3818350	+	0	NA	promoter-TSS (NM_207356)	promoter-TSS (NM_207356)	258	NR_024455	100133612	Hs.307652	NR_024455	ENSG00000236423	LINC01134	-	long intergenic non-protein coding RNA 1134	ncRNA	0.000216065290495336	-0.695405983087646
5	chr1	6051402	6053300	+	0	NA	promoter-TSS (NM_001199861)	promoter-TSS (NM_001199861)	134	NM_015102	261734	Hs.462348	NM_015102	ENSG00000131697	NPHP4	POC10|SLSN4	nephrocystin 4	protein-coding	3.12652856334965e-06	-0.759122082902601
6	chr1	6217202	6218450	+	0	NA	intron (NM_015557, intron 3 of 41)	intron (NM_015557, intron 3 of 41)	22555	NM_015557	26038	Hs.522898	NM_015557	ENSG00000116254	CHD5	CHD-5	chromodomain helicase DNA binding protein 5	protein-coding	1.17292304778164e-09	-1.42888836892611
7	chr1	8070152	8070350	+	0	NA	Intergenic	Intergenic	16118	NM_018948	54206	Hs.605445	NM_018948	ENSG00000116285	ERRFI1	GENE-33|MIG-6|MIG6|RALT	ERBB receptor feedback inhibitor 1	protein-coding	6.54500489866003e-05	-1.75557121475475
8	chr1	11967802	11970000	+	0	NA	TTS (NR_002754)	TTS (NR_002754)	690	NR_002754	26829		NR_002754	ENSG00000199347	RNU5E-1	RNU5E|U5E	RNA, U5E small nuclear 1	snRNA	3.69662992928875e-08	-1.12338556087832
9	chr1	12221902	12222250	+	0	NA	Intergenic	Intergenic	-4924	NR_107000	102465836		NR_107000	ENSG00000283789	MIR7846	hsa-mir-7846	microRNA 7846	ncRNA	0.00135898610756329	-1.03043236480055
10	chr1	15364702	15364950	+	0	NA	intron (NM_001370231, intron 4 of 8)	intron (NM_001370231, intron 4 of 8)	92411	NM_001017999	23254	Hs.368823	NM_015209	ENSG00000189337	KAZN	KAZ	kazrin, periplakin interacting protein	protein-coding	0.00114755340274078	-1.27180123577848
11	chr1	16499752	16500250	+	0	NA	Intergenic	Intergenic	-17437	NM_004431	1969	Hs.171596	NM_004431	ENSG00000142627	EPHA2	ARCC2|CTPA|CTPP1|CTRCT6|ECK	EPH receptor A2	protein-coding	0.00435309297346959	-1.24413952754872
12	chr1	21348802	21349300	+	0	NA	intron (NM_001198801, intron 4 of 34)	intron (NM_001198801, intron 4 of 34)	-34126	NR_031657	100302155		NR_031657	ENSG00000221808	MIR1256	MIRN1256|hsa-mir-1256	microRNA 1256	ncRNA	0.000668771306942682	-1.25769610851571
13	chr1	23158552	23158900	+	0	NA	intron (NM_004442, intron 3 of 15)	MIRb|SINE|MIR	30993	NR_036214	100422914		NR_036214	ENSG00000264014	MIR4253	-	microRNA 4253	ncRNA	7.74636683698577e-06	-1.89833079287128
14	chr1	28974552	28976000	+	0	NA	TTS (NR_146731)	TTS (NR_146731)	164	NR_004407	26824	Hs.640266	NR_004407	ENSG00000274978	RNU11	RNU11-1|U11	RNA, U11 small nuclear	snRNA	0.00576159680270623	-1.00960657599923
15	chr1	29211552	29211850	+	0	NA	Intergenic	Intergenic	-1902	NM_001166005	2035	Hs.175437	NM_004437	ENSG00000159023	EPB41	4.1R|EL1|HE	erythrocyte membrane protein band 4.1	protein-coding	0.00872502879762499	-0.8976617790233
16	chr1	29507702	29509200	+	0	NA	promoter-TSS (NM_005626)	promoter-TSS (NM_005626)	-39	NM_005626	6429	Hs.469970	NM_005626	ENSG00000116350	SRSF4	SFRS4|SRP75	serine and arginine rich splicing factor 4	protein-coding	0.000322931024445213	-0.913581769488951
