PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	565602	565800	+	0	NA	Intergenic	Intergenic	-1312	NR_125957	101928626	Hs.637667	NR_125957	ENSG00000230021	LOC101928626	-	uncharacterized LOC101928626	ncRNA	0.00849313557945752	1.31848881634429
2	chr1	6217202	6218450	+	0	NA	intron (NM_015557, intron 3 of 41)	intron (NM_015557, intron 3 of 41)	22555	NM_015557	26038	Hs.522898	NM_015557	ENSG00000116254	CHD5	CHD-5	chromodomain helicase DNA binding protein 5	protein-coding	1.39031397718749e-08	-1.54997178526818
3	chr1	9779202	9779450	+	0	NA	intron (NM_001350235, intron 8 of 22)	intron (NM_001350235, intron 8 of 22)	27801	NM_001350235	5293	Hs.518451	NM_005026	ENSG00000171608	PIK3CD	APDS|IMD14|P110DELTA|PI3K|p110D	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	protein-coding	0.00755866912385631	-1.05333210601062
4	chr1	17004552	17004800	+	0	NA	Intergenic	Intergenic	-3074	NR_037446	100500876		NR_037446	ENSG00000263811	MIR3675	-	microRNA 3675	ncRNA	0.00376075258583137	-1.57633600418486
5	chr1	20940102	20940750	+	0	NA	intron (NM_001785, intron 3 of 3)	intron (NM_001785, intron 3 of 3)	-19525	NM_032409	65018	Hs.389171	NM_032409	ENSG00000158828	PINK1	BRPK|PARK6	PTEN induced kinase 1	protein-coding	0.00582907027227424	-1.15519313561298
6	chr1	23158552	23158900	+	0	NA	intron (NM_004442, intron 3 of 15)	MIRb|SINE|MIR	30993	NR_036214	100422914		NR_036214	ENSG00000264014	MIR4253	-	microRNA 4253	ncRNA	0.00183821127901027	-1.483606719862
7	chr1	29529352	29529700	+	0	NA	intron (NR_146214, intron 5 of 10)	intron (NR_146214, intron 5 of 10)	-21114	NM_005626	6429	Hs.469970	NM_005626	ENSG00000116350	SRSF4	SFRS4|SRP75	serine and arginine rich splicing factor 4	protein-coding	0.00231540801177823	-1.00702442595196
8	chr1	32403352	32404550	+	0	NA	promoter-TSS (NM_001369860)	promoter-TSS (NM_001369860)	18	NM_001195100	8073	Hs.470477	NM_003479	ENSG00000184007	PTP4A2	HH13|HH7-2|HU-PP-1|OV-1|PRL-2|PRL2|PTP4A|PTPCAAX2|ptp-IV1a|ptp-IV1b	protein tyrosine phosphatase 4A2	protein-coding	0.00229969911963011	-0.862720911402394
9	chr1	35228202	35229600	+	0	NA	TTS (NM_153212)	TTS (NM_153212)	3560	NM_153212	127534	Hs.351203	NM_153212	ENSG00000189433	GJB4	CX30.3|EKV|EKVP2	gap junction protein beta 4	protein-coding	0.000218883081571512	-1.3986818159762
10	chr1	35246652	35248050	+	0	NA	promoter-TSS (NM_001005752)	promoter-TSS (NM_001005752)	-518	NM_001005752	2707	Hs.522561	NM_024009	ENSG00000188910	GJB3	CX31|DFNA2|DFNA2B|EKV|EKVP1	gap junction protein beta 3	protein-coding	0.00670569537582855	-1.13775061931649
11	chr1	36839402	36840650	+	0	NA	intron (NM_032017, intron 1 of 11)	intron (NM_032017, intron 1 of 11)	11499	NM_001282547	83931	Hs.471768	NM_032017	ENSG00000196182	STK40	SHIK|SgK495	serine/threonine kinase 40	protein-coding	0.00428455449596231	-0.983092379247569
12	chr1	36850602	36852750	+	0	NA	promoter-TSS (NM_001282547)	promoter-TSS (NM_001282547)	-151	NM_001282546	83931	Hs.471768	NM_032017	ENSG00000196182	STK40	SHIK|SgK495	serine/threonine kinase 40	protein-coding	0.00719294901448883	-0.730656865031035
13	chr1	39651502	39651750	+	0	NA	intron (NM_012090, intron 1 of 92)	intron (NM_012090, intron 1 of 92)	101787	NM_012090	23499	Hs.472475	NM_012090	ENSG00000127603	MACF1	ABP620|ACF7|LIS9|MACF|OFC4	microtubule actin crosslinking factor 1	protein-coding	0.00798494442367094	-1.32683053396571
14	chr1	48937502	48938250	+	0	NA	promoter-TSS (NM_001286239)	promoter-TSS (NM_001286239)	0	NM_001286238	54558	Hs.538103	NM_019073	ENSG00000132122	SPATA6	HASH|SRF-1|SRF1	spermatogenesis associated 6	protein-coding	7.64828644597364e-05	1.27910631325927
15	chr1	59118152	59118600	+	0	NA	Intergenic	Intergenic	47358	NM_001085487	114803	Hs.744921	NM_001085487	ENSG00000162601	MYSM1	2A-DUB|2ADUB|BMFS4	Myb like, SWIRM and MPN domains 1	protein-coding	0.00564542393329228	1.09785664997557
16	chr1	59245302	59248450	+	0	NA	3' UTR (NM_002228, exon 1 of 1)	3' UTR (NM_002228, exon 1 of 1)	2843	NM_002228	3725	Hs.696684	NM_002228	ENSG00000177606	JUN	AP-1|AP1|c-Jun|p39	Jun proto-oncogene, AP-1 transcription factor subunit	protein-coding	0.00262518653857438	1.39832944271745
17	chr1	59314302	59315350	+	0	NA	intron (NR_108106, intron 1 of 1)	intron (NR_108106, intron 1 of 1)	64003	NR_034015	100131060	Hs.680604	NR_034014	ENSG00000234807	LINC01135	-	long intergenic non-protein coding RNA 1135	ncRNA	9.27275824300861e-06	-1.02243403213606
18	chr1	59347002	59347550	+	0	NA	intron (NR_108106, intron 1 of 1)	intron (NR_108106, intron 1 of 1)	96453	NR_034015	100131060	Hs.680604	NR_034014	ENSG00000234807	LINC01135	-	long intergenic non-protein coding RNA 1135	ncRNA	4.56515322903518e-05	-2.29232257949681
19	chr1	64808802	64810300	+	0	NA	Intergenic	Intergenic	-126261	NM_020925	57685	Hs.443891	NM_020925	ENSG00000158966	CACHD1	-	cache domain containing 1	protein-coding	0.00961891459357648	-0.764783100846793
20	chr1	65507252	65507400	+	0	NA	intron (NM_001321853, intron 2 of 26)	intron (NM_001321853, intron 2 of 26)	16199	NR_037443	100500854		NR_037443	ENSG00000265996	MIR3671	-	microRNA 3671	ncRNA	0.00786326203852533	1.20508913688214
21	chr1	65925152	65925350	+	0	NA	intron (NM_001003680, intron 2 of 19)	LTR41|LTR|ERVL	38852	NM_001198681	54741	Hs.23581	NM_017526	ENSG00000213625	LEPROT	LEPR|OB-RGRP|OBRGRP|VPS55	leptin receptor overlapping transcript	protein-coding	0.00608964796366011	1.12665102223374
