PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	6094552	6094800	+	0	NA	promoter-TSS (NM_001199860)	promoter-TSS (NM_001199860)	-72	NM_001199860	8514	Hs.440497	NM_003636	ENSG00000069424	KCNAB2	AKR6A5|HKvbeta2|HKvbeta2.1|HKvbeta2.2|KCNA2B|KV-BETA-2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	protein-coding	0.00246432450298538	-1.2505588235861
2	chr1	32149752	32149850	+	0	NA	exon (NM_001856, exon 32 of 71)	exon (NM_001856, exon 32 of 71)	19817	NM_001856	1307	Hs.368921	NM_001856	ENSG00000084636	COL16A1	447AA|FP1572	collagen type XVI alpha 1 chain	protein-coding	0.00953661478623243	-1.1410049891118
3	chr1	110752502	110753850	+	0	NA	promoter-TSS (NR_046546)	promoter-TSS (NR_046546)	240	NM_004978	3749	Hs.153521	NM_004978	ENSG00000116396	KCNC4	C1orf30|HKSHIIIC|KSHIIIC|KV3.4	potassium voltage-gated channel subfamily C member 4	protein-coding	0.00471159998607724	-0.903207498207898
4	chr1	112794302	112794950	+	0	NA	Intergenic	Intergenic	-144210	NM_018704	55917	Hs.744100	NM_018704	ENSG00000143079	CTTNBP2NL	-	CTTNBP2 N-terminal like	protein-coding	8.51523484475393e-05	-1.149273524534
5	chr10	557002	557400	+	0	NA	intron (NM_014974, intron 1 of 36)	intron (NM_014974, intron 1 of 36)	-117303	NR_147612	101930421	Hs.654707	NR_147612	ENSG00000225140	LOC101930421	-	uncharacterized LOC101930421	ncRNA	0.00924955226098029	-0.775417457046862
6	chr10	105631902	105632300	+	0	NA	Intergenic	Intergenic	-16937	NM_014631	9644	Hs.678727	NM_014631	ENSG00000107957	SH3PXD2A	FISH|SH3MD1|TKS5	SH3 and PX domains 2A	protein-coding	0.00757602275747769	-1.35797320434196
7	chr10	133757002	133757250	+	0	NA	intron (NR_033191, intron 4 of 7)	intron (NR_033191, intron 4 of 7)	9166	NR_033191	55844	Hs.380372	NM_018461	ENSG00000175470	PPP2R2D	B55D|B55delta|MDS026	protein phosphatase 2 regulatory subunit Bdelta	protein-coding	0.00679798412430545	-1.20515311928583
8	chr11	3818352	3819550	+	0	NA	promoter-TSS (NM_001283040)	promoter-TSS (NM_001283040)	-3	NM_001256235	27315	Hs.133968	NM_014489	ENSG00000148985	PGAP2	CWH43-N|FRAG1|HPMRS3|MRT17|MRT21	post-GPI attachment to proteins 2	protein-coding	0.00644593345017186	-0.543570301925142
9	chr11	12131652	12132650	+	0	NA	promoter-TSS (NM_001346295)	promoter-TSS (NM_001346295)	14	NR_144418	9645	Hs.501928	NM_014632	ENSG00000133816	MICAL2	MICAL-2|MICAL2PV1|MICAL2PV2	microtubule associated monooxygenase, calponin and LIM domain containing 2	protein-coding	0.00836574099888249	-0.594603467806636
10	chr11	46148802	46149000	+	0	NA	Intergenic	MER20|DNA|hAT-Charlie	-6365	NM_016621	51317	Hs.502458	NM_016621	ENSG00000135365	PHF21A	BHC80|BM-006	PHD finger protein 21A	protein-coding	0.00828786197023342	-1.07774021552651
11	chr11	47586852	47587450	+	0	NA	promoter-TSS (NM_175732)	promoter-TSS (NM_175732)	0	NM_175732	114971	Hs.656205	NM_175732	ENSG00000110536	PTPMT1	DUSP23|MOSP|PLIP|PNAS-129	protein tyrosine phosphatase mitochondrial 1	protein-coding	0.00589370880148403	-0.871045671493606
12	chr11	63683952	63684050	+	0	NA	5' UTR (NM_001363648, exon 1 of 11)	5' UTR (NM_001363648, exon 1 of 11)	635	NM_001363648	283248	Hs.98788	NM_173587	ENSG00000167771	RCOR2	-	REST corepressor 2	protein-coding	0.00427020385283051	-1.46849377004802
13	chr11	64889502	64889950	+	0	NA	promoter-TSS (NM_004927)	promoter-TSS (NM_004927)	10	NR_037568	740	Hs.744882	NM_004927	ENSG00000149792	MRPL49	C11orf4|L49mt|MRP-L49|NOF|NOF1	mitochondrial ribosomal protein L49	protein-coding	0.00051428784811495	-0.998840711439982
14	chr11	119345452	119345700	+	0	NA	intron (NR_034160, intron 3 of 3)	intron (NR_034160, intron 3 of 3)	-49881	NM_001311162	7070	Hs.644697	NM_006288	ENSG00000154096	THY1	CD90|CDw90	Thy-1 cell surface antigen	protein-coding	0.00875559964557663	-1.18006051714945
15	chr11	125931602	125933600	+	0	NA	intron (NM_016952, intron 1 of 19)	CpG	586	NM_016952	50937	Hs.38034	NM_016952	ENSG00000064309	CDON	CDO|CDON1|HPE11|ORCAM	cell adhesion associated, oncogene regulated	protein-coding	0.00122526193872214	-1.50731820713019
16	chr11	128391602	128393150	+	0	NA	promoter-TSS (NR_106738)	promoter-TSS (NR_106738)	91	NR_106738	102466104		NR_106738	ENSG00000276176	MIR6090	hsa-mir-6090	microRNA 6090	ncRNA	0.00470486905156174	-0.689939186164857
17	chr12	96613452	96614000	+	0	NA	intron (NM_005230, intron 1 of 4)	intron (NM_005230, intron 1 of 4)	25573	NM_005230	2004	Hs.46523	NM_005230	ENSG00000111145	ELK3	ERP|NET|SAP-2|SAP2	ETS transcription factor ELK3	protein-coding	7.21701527625019e-05	-0.881630564314235
18	chr12	107380452	107381200	+	0	NA	promoter-TSS (NM_001033050)	promoter-TSS (NM_001033050)	98	NM_001033050	80298	Hs.5009	NM_025198	ENSG00000120832	MTERF2	MTERFD3|mTERFL	mitochondrial transcription termination factor 2	protein-coding	0.00552705873787964	-0.603953624416725
19	chr12	109227152	109227500	+	0	NA	intron (NM_018984, intron 2 of 14)	intron (NM_018984, intron 2 of 14)	3456	NR_030350	693204		NR_030350	ENSG00000207622	MIR619	MIRN619|hsa-mir-619	microRNA 619	ncRNA	0.000285146602674484	-1.47570884373277
