PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	48937502	48938250	+	0	NA	promoter-TSS (NM_001286239)	promoter-TSS (NM_001286239)	0	NM_001286238	54558	Hs.538103	NM_019073	ENSG00000132122	SPATA6	HASH|SRF-1|SRF1	spermatogenesis associated 6	protein-coding	0.000706228141459295	1.33505858474543
2	chr1	49381902	49382450	+	0	NA	intron (NR_136623, intron 4 of 12)	intron (NR_136623, intron 4 of 12)	-139535	NR_146232	79656	Hs.475348	NM_024603	ENSG00000162373	BEND5	C1orf165	BEN domain containing 5	protein-coding	0.000302240657927008	1.48389861502106
3	chr1	171749902	171751450	+	0	NA	promoter-TSS (NM_015935)	promoter-TSS (NM_015935)	-124	NM_015935	51603	Hs.494705	NM_014955	ENSG00000010165	EEF1AKNMT	5630401D24Rik|CGI-01|DFNB26|DFNB26M|KIAA0859|METTL13|feat	eEF1A lysine and N-terminal methyltransferase	protein-coding	0.00335193477070503	1.08946138648542
4	chr10	69523302	69525100	+	0	NA	Intergenic	CpG	-68248	NM_013266	29119	Hs.21375	NM_013266	ENSG00000183230	CTNNA3	ARVD13|VR22	catenin alpha 3	protein-coding	0.000270214370319462	1.03324877434237
5	chr10	104503352	104503950	+	0	NA	promoter-TSS (NM_001083913)	promoter-TSS (NM_001083913)	-54	NM_001083913	54838	Hs.500897	NM_017787	ENSG00000166272	WBP1L	C10orf26|OPA1L|OPAL1	WW domain binding protein 1 like	protein-coding	0.00993593981544894	1.36172869605596
6	chr11	27318052	27318450	+	0	NA	Intergenic	MIRc|SINE|MIR	66511	NM_030771	91057	Hs.143733	NM_030771	ENSG00000109881	CCDC34	L15|NY-REN-41|RAMA3	coiled-coil domain containing 34	protein-coding	0.00385903396023758	1.01915157063884
7	chr16	52102452	52102650	+	0	NA	intron (NM_001242473, intron 1 of 5)	intron (NM_001242473, intron 1 of 5)	5296	NM_001242473	388276	Hs.534669	NM_001242473		C16orf97	-	chromosome 16 open reading frame 97	protein-coding	0.000110813413857385	2.06478731406949
8	chr16	56640602	56644700	+	0	NA	intron (NM_005953, intron 1 of 2)	intron (NM_005953, intron 1 of 2)	155	NM_005953	4502	Hs.534330	NM_005953	ENSG00000125148	MT2A	MT-2|MT-II|MT2	metallothionein 2A	protein-coding	0.00222442844696917	1.07438937850809
9	chr17	62501502	62503850	+	0	NA	promoter-TSS (NM_001320597)	promoter-TSS (NM_001320597)	173	NM_001320596	1655	Hs.279806	NM_004396	ENSG00000108654	DDX5	G17P1|HLR1|HUMP68|p68	DEAD-box helicase 5	protein-coding	0.00543139940944398	1.72495862320348
10	chr18	29598102	29600100	+	0	NA	intron (NM_017831, intron 1 of 5)	CpG	313	NM_017831	54941	Hs.633703	NM_017831	ENSG00000101695	RNF125	TNORS|TRAC-1|TRAC1	ring finger protein 125	protein-coding	0.00219470962389369	0.715204133655381
