PeakID (cmd=annotatePeaks.pl /dev/fd/63 hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	FDR	logFC
1	chr1	1850352	1851350	+	0	NA	promoter-TSS (NM_178545)	promoter-TSS (NM_178545)	-133	NM_178545	339456	Hs.123423	NM_178545	ENSG00000178821	TMEM52	-	transmembrane protein 52	protein-coding	0.00013578102225693	-0.71759115501523
2	chr1	2187352	2187550	+	0	NA	intron (NM_003036, intron 1 of 6)	intron (NM_003036, intron 1 of 6)	27693	NM_003036	6497	Hs.656507	NM_003036	ENSG00000157933	SKI	SGS|SKV	SKI proto-oncogene	protein-coding	0.00058572883644422	-1.91647083977087
3	chr1	2313252	2313500	+	0	NA	intron (NR_125361, intron 5 of 6)	intron (NR_125361, intron 5 of 6)	9617	NR_125361	79906	Hs.642701	NM_024848	ENSG00000116151	MORN1	-	MORN repeat containing 1	protein-coding	0.00444784331194183	-0.846380977112281
4	chr1	2517002	2518900	+	0	NA	promoter-TSS (NR_036637)	promoter-TSS (NR_036637)	-11	NR_036637	127281	Hs.462033	NM_152371	ENSG00000157870	PRXL2B	C1orf93|FAM213B	peroxiredoxin like 2B	protein-coding	0.00446353191022167	-0.524819065326803
5	chr1	2738652	2738750	+	0	NA	Intergenic	Intergenic	-21268	NM_001242672	100287898	Hs.632363	NM_001242672	ENSG00000215912	TTC34	-	tetratricopeptide repeat domain 34	protein-coding	0.00567608675771586	-0.943908949816035
6	chr1	3236502	3236750	+	0	NA	intron (NM_199454, intron 3 of 16)	intron (NM_199454, intron 3 of 16)	-134603	NM_014448	27237	Hs.87435	NM_014448	ENSG00000130762	ARHGEF16	GEF16|NBR	Rho guanine nucleotide exchange factor 16	protein-coding	0.00198171698041052	-0.845967693538958
7	chr1	3612202	3612650	+	0	NA	intron (NM_001126242, intron 1 of 10)	L2b|LINE|L2	-2184	NM_001204192	7161	Hs.192132	NM_005427	ENSG00000078900	TP73	P73	tumor protein p73	protein-coding	0.00652550284235631	-1.17464656875317
8	chr1	3692552	3692850	+	0	NA	TTS (NM_001288583)	TTS (NM_001288583)	3350	NM_001163724	388588	Hs.22047	NM_001163724	ENSG00000235169	SMIM1	Vel	small integral membrane protein 1 (Vel blood group)	protein-coding	0.00319753716942649	-0.90267366605284
9	chr1	3816102	3818350	+	0	NA	promoter-TSS (NM_207356)	promoter-TSS (NM_207356)	258	NR_024455	100133612	Hs.307652	NR_024455	ENSG00000236423	LINC01134	-	long intergenic non-protein coding RNA 1134	ncRNA	0.00137161729798772	-0.513577933129005
10	chr1	5574702	5574900	+	0	NA	Intergenic	Intergenic	348000	NR_039838	100616421		NR_039838	ENSG00000264101	MIR4689	mir-4689	microRNA 4689	ncRNA	0.00542091932771042	-0.91651706973237
